Time,Thermister,Voltage,ThrCnt,Internal Temp degF,IT_Cnt,Tmp IC degF,PhotoR,PhtCnt,Press,PRcnt,Battery,BtCNt,MemAvailable
2023-10-12 15:09:31,74.0496,1.690712,33576,72.95851,14435,71.375,3.211375,63775,3.270996,64959,4.244648,8290,331
2023-10-12 15:09:33,73.9537,1.692323,33608,72.95851,14435,71.2625,3.202513,63599,3.275024,65039,4.238441,8274,331
2023-10-12 15:09:35,74.0496,1.690712,33576,72.95851,14435,71.375,3.200096,63551,3.27019,64943,4.250856,8306,331
2023-10-12 15:09:37,73.61811,1.697963,33720,72.95851,14435,71.375,3.215404,63855,3.251659,64575,4.244648,8290,331
2023-10-12 15:09:39,73.61811,1.697963,33720,72.95851,14435,71.375,3.19929,63535,3.263744,64815,4.269479,8354,331
2023-10-12 15:09:40,72.94787,1.709242,33944,72.95851,14435,71.2625,3.196873,63487,3.272607,64991,4.269479,8354,331
2023-10-12 15:09:42,72.90005,1.710048,33960,72.95851,14435,71.375,3.021186,59998,3.255688,64655,4.244648,8290,331
2023-10-12 15:09:44,73.09139,1.706825,33896,72.95851,14435,71.2625,3.006683,59710,3.249242,64527,4.244648,8290,331
2023-10-12 15:09:46,72.32637,1.719716,34152,72.95851,14435,71.2625,3.0091,59758,3.253271,64607,4.244648,8290,331
2023-10-12 15:09:48,72.75653,1.712465,34008,72.95851,14435,71.2625,3.017157,59918,3.263744,64815,4.244648,8290,331
2023-10-12 15:09:50,72.42195,1.718105,34120,72.95851,14435,71.375,2.975262,59086,3.258105,64703,4.269479,8354,331
2023-10-12 15:09:52,72.99568,1.708437,33928,72.95851,14435,71.375,2.57474,51132,3.272607,64991,4.238441,8274,331
2023-10-12 15:09:54,72.42195,1.718105,34120,72.95851,14435,71.375,1.518247,30151,3.266967,64879,4.244648,8290,331
2023-10-12 15:09:56,72.94787,1.709242,33944,72.95851,14435,71.2625,1.274882,25318,3.251659,64575,4.238441,8274,331
2023-10-12 15:09:57,72.6609,1.714076,34040,72.95851,14435,71.375,1.244266,24710,3.246825,64479,4.238441,8274,331
2023-10-12 15:09:59,71.8012,1.728579,34328,72.95851,14435,71.375,2.266065,45002,3.250854,64559,4.238441,8274,331
2023-10-12 15:10:01,72.51751,1.716493,34088,72.95851,14435,71.375,2.897917,57550,3.279052,65119,4.275687,8370,331
2023-10-12 15:10:03,72.46976,1.717299,34104,72.95851,14435,71.375,3.003461,59646,3.250048,64543,4.238441,8274,331
2023-10-12 15:10:05,72.70872,1.713271,34024,72.95851,14435,71.375,3.001044,59598,3.24602,64463,4.244648,8290,331
2023-10-12 15:10:07,72.70872,1.713271,34024,72.95851,14435,71.375,3.009906,59774,3.251659,64575,4.244648,8290,331
2023-10-12 15:10:09,72.61315,1.714882,34056,72.95851,14435,71.375,3.040522,60382,3.258105,64703,4.257064,8322,331
2023-10-12 15:10:11,71.8012,1.728579,34328,72.95851,14435,71.375,3.195262,63455,3.272607,64991,4.275687,8370,331
2023-10-12 15:10:13,72.61315,1.714882,34056,72.95851,14435,71.375,3.208958,63727,3.276635,65071,4.244648,8290,331
2023-10-12 15:10:15,72.6609,1.714076,34040,72.95851,14435,71.375,3.212181,63791,3.277441,65087,4.244648,8290,331
2023-10-12 15:10:17,72.51751,1.716493,34088,72.95851,14435,71.375,3.233129,64207,2.416777,47995,4.263272,8338,330
2023-10-12 15:10:18,71.84895,1.727773,34312,72.95851,14435,71.4875,3.212987,63807,1.81398,36024,4.238441,8274,330
2023-10-12 15:10:20,71.99206,1.725356,34264,72.95851,14435,71.4875,3.232323,64191,1.716493,34088,4.257064,8322,330
2023-10-12 15:10:22,72.56533,1.715688,34072,73.77974,14419,71.4875,3.217015,63887,1.723744,34232,4.244648,8290,330
2023-10-12 15:10:24,72.32637,1.719716,34152,72.95851,14435,71.4875,3.21057,63759,2.778627,55181,4.244648,8290,330
2023-10-12 15:10:26,71.65807,1.730996,34376,72.95851,14435,71.4875,3.200902,63567,3.200902,63567,4.281895,8386,330
2023-10-12 15:10:28,72.13531,1.722939,34216,72.95851,14435,71.4875,3.217821,63903,3.250048,64543,4.257064,8322,330
2023-10-12 15:10:30,71.8012,1.728579,34328,72.95851,14435,71.4875,3.204124,63631,3.258105,64703,4.244648,8290,330
2023-10-12 15:10:32,72.37419,1.71891,34136,72.95851,14435,71.4875,3.211375,63775,3.261328,64767,4.244648,8290,330
2023-10-12 15:10:33,71.8012,1.728579,34328,72.13728,14451,71.4875,3.188011,63311,3.271801,64975,4.269479,8354,330
2023-10-12 15:10:35,72.32637,1.719716,34152,72.95851,14435,71.4875,3.203319,63615,3.281469,65167,4.238441,8274,330
2023-10-12 15:10:37,71.61033,1.731801,34392,72.95851,14435,71.4875,3.212987,63807,3.256493,64671,4.244648,8290,330
2023-10-12 15:10:39,71.32423,1.736635,34488,72.95851,14435,71.4875,3.212181,63791,3.267773,64895,4.244648,8290,330
2023-10-12 15:10:41,71.70577,1.73019,34360,72.13728,14451,71.4875,3.200902,63567,3.279858,65135,4.250856,8306,330
2023-10-12 15:10:43,72.13531,1.722939,34216,72.95851,14435,71.6,3.203319,63615,3.258105,64703,4.244648,8290,330
2023-10-12 15:10:45,71.32423,1.736635,34488,72.13728,14451,71.4875,3.215404,63855,3.258105,64703,4.250856,8306,330
2023-10-12 15:10:47,72.03981,1.72455,34248,71.31606,14467,71.4875,3.208153,63711,3.286304,65263,4.244648,8290,330
2023-10-12 15:10:49,72.08755,1.723744,34232,72.95851,14435,71.4875,3.214598,63839,3.263744,64815,4.250856,8306,330
2023-10-12 15:10:50,71.8012,1.728579,34328,72.95851,14435,71.4875,3.211375,63775,3.262133,64783,4.244648,8290,330
2023-10-12 15:10:52,71.75345,1.729384,34344,72.95851,14435,71.4875,3.21057,63759,3.254076,64623,4.244648,8290,330
2023-10-12 15:10:54,71.8012,1.728579,34328,72.95851,14435,71.4875,3.207347,63695,3.25891,64719,4.244648,8290,330
2023-10-12 15:10:56,71.08594,1.740664,34568,72.95851,14435,71.4875,3.202513,63599,3.263744,64815,4.238441,8274,330
2023-10-12 15:10:58,71.61033,1.731801,34392,72.95851,14435,71.4875,3.193651,63423,3.279858,65135,4.269479,8354,330
2023-10-12 15:11:00,71.27655,1.737441,34504,72.95851,14435,71.4875,3.196068,63471,3.258105,64703,4.244648,8290,330
2023-10-12 15:11:02,71.84895,1.727773,34312,73.77974,14419,71.4875,3.204124,63631,3.255688,64655,4.244648,8290,330
2023-10-12 15:11:04,71.94438,1.726162,34280,72.95851,14435,71.4875,3.203319,63615,3.251659,64575,4.244648,8290,330
2023-10-12 15:11:06,71.4196,1.735024,34456,72.95851,14435,71.4875,3.217015,63887,3.263744,64815,4.257064,8322,330
2023-10-12 15:11:08,71.94438,1.726162,34280,72.95851,14435,71.4875,3.217015,63887,3.258105,64703,4.244648,8290,330
2023-10-12 15:11:09,71.89663,1.726967,34296,72.95851,14435,71.4875,3.221849,63983,3.270996,64959,4.257064,8322,330
2023-10-12 15:11:11,71.4196,1.735024,34456,72.13728,14451,71.4875,3.202513,63599,3.266967,64879,4.244648,8290,330
2023-10-12 15:11:13,71.94438,1.726162,34280,73.77974,14419,71.4875,3.207347,63695,3.250854,64559,4.244648,8290,330
2023-10-12 15:11:15,71.8012,1.728579,34328,72.95851,14435,71.4875,3.200096,63551,3.278247,65103,4.244648,8290,330
2023-10-12 15:11:17,71.56265,1.732607,34408,72.95851,14435,71.4875,3.208153,63711,3.266161,64863,4.263272,8338,330
2023-10-12 15:11:19,71.03833,1.741469,34584,72.95851,14435,71.4875,3.201707,63583,3.279858,65135,4.238441,8274,330
2023-10-12 15:11:21,71.18124,1.739052,34536,71.31606,14467,71.4875,3.21057,63759,3.25891,64719,4.244648,8290,330
2023-10-12 15:11:23,70.89542,1.743886,34632,72.95851,14435,71.4875,3.197679,63503,3.278247,65103,4.250856,8306,330
2023-10-12 15:11:25,71.75345,1.729384,34344,72.95851,14435,71.4875,3.221044,63967,3.265356,64847,4.257064,8322,329
2023-10-12 15:11:27,71.32423,1.736635,34488,72.95851,14435,71.4875,3.200902,63567,3.274218,65023,4.269479,8354,329
2023-10-12 15:11:28,71.61033,1.731801,34392,72.95851,14435,71.4875,3.202513,63599,3.257299,64687,4.244648,8290,329
2023-10-12 15:11:30,71.37191,1.73583,34472,72.95851,14435,71.4875,3.212181,63791,3.262939,64799,4.244648,8290,329
2023-10-12 15:11:32,71.4196,1.735024,34456,72.95851,14435,71.4875,3.191234,63375,3.279858,65135,4.275687,8370,329
2023-10-12 15:11:34,71.75345,1.729384,34344,72.95851,14435,71.4875,3.212181,63791,3.257299,64687,4.244648,8290,329
2023-10-12 15:11:36,70.89542,1.743886,34632,72.95851,14435,71.4875,3.197679,63503,3.276635,65071,4.257064,8322,329
2023-10-12 15:11:38,71.03833,1.741469,34584,72.95851,14435,71.4875,3.201707,63583,3.270996,64959,4.244648,8290,329
2023-10-12 15:11:40,71.70577,1.73019,34360,72.95851,14435,71.4875,3.221044,63967,3.258105,64703,4.257064,8322,329
2023-10-12 15:11:42,71.03833,1.741469,34584,72.95851,14435,71.375,3.212181,63791,3.266967,64879,4.244648,8290,329
2023-10-12 15:11:43,71.61033,1.731801,34392,72.95851,14435,71.4875,3.201707,63583,3.257299,64687,4.244648,8290,329
2023-10-12 15:11:45,70.65727,1.747915,34712,72.95851,14435,71.4875,3.201707,63583,3.284692,65231,4.244648,8290,329
2023-10-12 15:11:47,71.4196,1.735024,34456,72.95851,14435,71.4875,3.221849,63983,3.266967,64879,4.257064,8322,329
2023-10-12 15:11:49,70.99065,1.742275,34600,72.95851,14435,71.375,3.206542,63679,3.27019,64943,4.263272,8338,329
2023-10-12 15:11:51,71.27655,1.737441,34504,72.95851,14435,71.375,3.211375,63775,3.256493,64671,4.244648,8290,329
2023-10-12 15:11:53,70.84774,1.744692,34648,72.95851,14435,71.375,3.228295,64111,3.257299,64687,4.263272,8338,329
2023-10-12 15:11:55,71.32423,1.736635,34488,72.95851,14435,71.4875,3.212181,63791,3.252465,64591,4.244648,8290,329
2023-10-12 15:11:57,71.37191,1.73583,34472,72.95851,14435,71.4875,3.218626,63919,3.254076,64623,4.257064,8322,329
2023-10-12 15:11:59,71.22894,1.738247,34520,72.95851,14435,71.4875,3.197679,63503,3.281469,65167,4.244648,8290,329
2023-10-12 15:12:01,71.03833,1.741469,34584,72.95851,14435,71.4875,3.215404,63855,3.25891,64719,4.244648,8290,329
